problem,variant,model,valid,llm_cost,optimal_cost,gap_%,bug_optimal,order_dist,duration,tokens
p01,canonical,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,241.1,18804
p01,canonical,gpt-5-mini,True,7.0,7.0,0.0,False,0.2873,195.01,16184
p01,canonical,grok-4-1-fast,False,2.0,7.0,-71.43,False,0.0177,249.84,46916
p01,canonical,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,50.62,13431
p01,canonical,qwen3-5-35b-a3b-alibaba,False,0.0,7.0,-100.0,False,0.0282,3.45,3499
p01,dispersion,deepseek-v3-2,False,7.0,7.0,0.0,False,0.0254,190.24,9010
p01,dispersion,gpt-5-mini,True,7.0,7.0,0.0,False,0.2873,126.74,14773
p01,dispersion,grok-4-1-fast,True,7.0,7.0,0.0,False,0.2873,99.49,21284
p01,dispersion,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,46.55,13431
p01,dispersion,qwen3-5-35b-a3b-alibaba,False,0.0,7.0,-100.0,False,0.0282,275.04,20818
p01,frequency,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,633.26,20272
p01,frequency,gpt-5-mini,False,0.0,7.0,-100.0,False,0.0282,474.35,20198
p01,frequency,grok-4-1-fast,True,7.0,7.0,0.0,False,0.2873,94.89,22081
p01,frequency,mimo-v2-flash,True,1.0,7.0,-85.71,True,-0.0217,3.68,4708
p01,frequency,qwen3-5-35b-a3b-alibaba,False,0.0,7.0,-100.0,False,0.0282,148.77,20818
p01,optimal,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,422.27,19693
p01,optimal,gpt-5-mini,False,43.0,7.0,514.29,False,0.0833,191.92,20198
p01,optimal,grok-4-1-fast,True,7.0,7.0,0.0,False,0.3099,99.33,23945
p01,optimal,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,4.13,4691
p01,optimal,qwen3-5-35b-a3b-alibaba,True,7.0,7.0,0.0,False,0.462,119.87,21364
p01,random_01,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,568.01,21474
p01,random_01,gpt-5-mini,True,7.0,7.0,0.0,False,0.3356,144.04,16194
p01,random_01,grok-4-1-fast,True,7.0,7.0,0.0,False,0.2873,124.86,27677
p01,random_01,mimo-v2-flash,True,1.0,7.0,-85.71,True,-0.0217,3.49,4732
p01,random_01,qwen3-5-35b-a3b-alibaba,False,0.0,7.0,-100.0,False,0.0282,214.2,19599
p01,random_02,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,719.11,27241
p01,random_02,gpt-5-mini,False,4.0,7.0,-42.86,False,0.0241,93.86,11712
p01,random_02,grok-4-1-fast,False,0.0,7.0,-100.0,False,0.0282,122.2,23237
p01,random_02,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,49.11,13431
p01,random_02,qwen3-5-35b-a3b-alibaba,True,7.0,7.0,0.0,False,0.3606,95.92,17695
p01,random_03,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,491.42,20019
p01,random_03,gpt-5-mini,True,7.0,7.0,0.0,False,0.2873,182.73,19433
p01,random_03,grok-4-1-fast,True,7.0,7.0,0.0,False,0.2873,112.73,22491
p01,random_03,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,48.23,13431
p01,random_03,qwen3-5-35b-a3b-alibaba,True,7.0,7.0,0.0,False,0.3606,85.93,18823
p01,random_04,deepseek-v3-2,False,0.0,7.0,-100.0,False,0.0282,568.9,16238
p01,random_04,gpt-5-mini,False,68.0,7.0,871.43,False,0.2841,199.75,20198
p01,random_04,grok-4-1-fast,False,10.0,7.0,42.86,False,-0.0185,91.27,21069
p01,random_04,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,47.86,13431
p01,random_04,qwen3-5-35b-a3b-alibaba,False,0.0,7.0,-100.0,False,0.0282,231.42,20818
p01,random_05,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,357.19,21577
p01,random_05,gpt-5-mini,True,7.0,7.0,0.0,False,0.2873,169.12,18306
p01,random_05,grok-4-1-fast,False,2.0,7.0,-71.43,False,0.0064,171.9,34265
p01,random_05,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,50.64,13431
p01,random_05,qwen3-5-35b-a3b-alibaba,True,7.0,7.0,0.0,False,0.3606,103.47,19424
p01,random_06,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,526.38,17663
p01,random_06,gpt-5-mini,True,7.0,7.0,0.0,False,0.2873,155.7,17185
p01,random_06,grok-4-1-fast,True,7.0,7.0,0.0,False,0.2873,111.39,20981
p01,random_06,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,48.89,13431
p01,random_06,qwen3-5-35b-a3b-alibaba,True,7.0,7.0,0.0,False,0.3606,90.4,19982
p01,random_07,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,473.82,19862
p01,random_07,gpt-5-mini,True,7.0,7.0,0.0,False,0.2873,157.25,17334
p01,random_07,grok-4-1-fast,False,2.0,7.0,-71.43,False,0.0064,114.85,26906
p01,random_07,mimo-v2-flash,False,0.0,7.0,-100.0,False,0.0282,49.82,13431
p01,random_07,qwen3-5-35b-a3b-alibaba,True,7.0,7.0,0.0,False,0.462,123.98,22032
p01,random_08,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,489.85,16421
p01,random_08,gpt-5-mini,True,7.0,7.0,0.0,False,0.2873,181.34,19300
p01,random_08,grok-4-1-fast,True,7.0,7.0,0.0,False,0.2873,88.48,21283
p01,random_08,mimo-v2-flash,True,1.0,7.0,-85.71,True,-0.0217,3.85,4708
p01,random_08,qwen3-5-35b-a3b-alibaba,True,7.0,7.0,0.0,False,0.3606,131.43,18417
p01,random_09,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,918.69,26721
p01,random_09,gpt-5-mini,False,0.0,7.0,-100.0,False,0.0282,519.29,20198
p01,random_09,grok-4-1-fast,False,8.0,7.0,14.29,False,0.0032,148.44,25639
p01,random_09,mimo-v2-flash,True,1.0,7.0,-85.71,True,-0.0217,3.46,4708
p01,random_09,qwen3-5-35b-a3b-alibaba,False,0.0,7.0,-100.0,False,0.0282,148.8,20818
p01,random_10,deepseek-v3-2,True,7.0,7.0,0.0,False,0.2873,612.91,19592
p01,random_10,gpt-5-mini,False,0.0,7.0,-100.0,False,0.0282,478.49,20198
p01,random_10,grok-4-1-fast,False,5.0,7.0,-28.57,False,0.0076,66.92,17444
p01,random_10,mimo-v2-flash,True,1.0,7.0,-85.71,True,-0.0217,3.9,4732
p01,random_10,qwen3-5-35b-a3b-alibaba,False,115.0,7.0,1542.86,False,0.9058,231.41,20818
